Review,Sentiment
best service and food ever maria our server was so good and friendly she made our day,1
great brunch spot,1
four stars for the food the guy in the blue shirt for his great vibe still letting us in to eat,1
best breakfast buffet,1
all of the tapas dishes were delicious,1
we got the food and apparently they have never heard of salt and the batter on the fish was chewy,0
the grilled chicken was so tender and yellow from the saffron seasoning,1
i would definitely recommend the wings as well as the pizza,1
we could not believe how dirty the oysters were,0
so absolutley fantastic,1
crostini that came with the salad was stale,0
the scallop dish is quite appalling for value as well,0
the food was barely lukewarm so it must have been sitting waiting for the server to bring it out to us,0
will not be back,0
what i really like there is the crepe station,1
you cant go wrong with any of the food here,1
the descriptions said yum yum sauce and another said eel sauce yet another said spicy mayo well none of the rolls had sauces on them,0
i dont think i will be back for a very long time,0
i ve had better atmosphere,0
not good by any stretch of the imagination,0
by far the best cheesecurds we have ever had,1
won t ever go here again,0
the waitress was friendly and happy to accomodate for vegan veggie options,1
bland not a liking this place for a number of reasons and i don t want to waste time on bad reviewing i ll leave it at that,0
it was pretty gross,0
don t waste your time here,0
the sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well,1
not much seafood and like strings of pasta at the bottom,0
i love their fries and their beans,1
i felt insulted and disrespected how could you talk and judge another human being like that,0
he deserves stars,1
just as good as when i had it more than a year ago,1
it s too bad the food is so damn generic,0
i have eaten here multiple times and each time the food was delicious,1
the best place to go for a tasty bowl of pho,1
then as if i hadn t wasted enough of my life there they poured salt in the wound by drawing out the time it took to bring the check,0
they were excellent,1
friend s pasta also bad he barely touched it,0
good service very clean and inexpensive to boot,1
nothing special,0
a fantastic neighborhood gem,1
good service check,1
of all the dishes the salmon was the best but all were great,1
but i don t like it,0
we watched our waiter pay a lot more attention to other tables and ignore us,0
we thought you d have to venture further away to get good sushi but this place really hit the spot that night,1
we will not be coming back,0
we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside,1
it shouldn t take min for pancakes and eggs,0
it also took her forever to bring us the check when we asked for it,0
my husband and i ate lunch here and were very disappointed with the food and service,0
very good though,1
cooked to perfection and the service was impeccable,1
ambience is perfect,1
the only downside is the service,0
did not like at all,0
the first time i ever came here i had an amazing experience i still tell people how awesome the duck was,1
when i received my pita it was huge it did have a lot of meat in it so thumbs up there,1
lastly the mozzarella sticks they were the best thing we ordered,1
food was really good and i got full petty fast,1
great steak great sides great wine amazing desserts,1
i had the chicken pho and it tasted very bland,0
my first visit to hiro was a delight,1
perhaps i caught them on an off night judging by the other reviews but i m not inspired to go back,0
drinks took close to minutes to come out at one point,0
the service here is fair at best,0
and the chef was generous with his time even came around twice so we can take pictures with him,1
main thing i didn t enjoy is that the crowd is of older crowd around mid s and up,0
i probably won t be coming back here,0
some highlights great quality nigiri here,1
we waited an hour for what was a breakfast i could have done times better at home,0
they also have the best cheese crisp in town,1
i consider this theft,0
when i opened the sandwich i was impressed but not in a good way,0
waitress was a little slow in service,0
phenomenal food service and ambiance,1
service was exceptional and food was a good as all the reviews,1
we had at our table and the service was pretty fast,1
that just screams legit in my book somethat s also pretty rare here in vegas,1
del taco is pretty nasty and should be avoided if possible,0
you can watch them preparing the delicious food,1
check it out,1
my friend did not like his bloody mary,0
it was awesome,1
the burger had absolutely no flavor the meat itself was totally bland the burger was overcooked and there was no charcoal flavor,0
please stay away from the shrimp stir fried noodles,0
the service was poor and thats being nice,0
thumbs up,1
special thanks to dylan t for the recommendation on what to order all yummy for my tummy,1
total brunch fail,0
i kept looking at the time and it had soon become minutes yet still no food,0
at first glance it is a lovely bakery cafe nice ambiance clean friendly staff,1
all in all ha long bay was a bit of a flop,0
the only thing i did like was the prime rib and dessert section,1
this is my new fav vegas buffet spot,1
i ordered the voodoo pasta and it was the first time i d had really excellent pasta since going gluten free several years ago,1
i probably would not go here again,0
this really is how vegas fine dining used to be right down to the menus handed to the ladies that have no prices listed,1
highly recommended,1
give it a try you will be happy you did,1
if you want a sandwich just go to any firehouse,1
the ambiance isn t much better,0
it was equally awful,0
the food is very good for your typical bar food,1
the ambiance here did not feel like a buffet setting but more of a douchey indoor garden for tea and biscuits,0
we asked for the bill to leave without eating and they didn t bring that either,0
this place is not quality sushi it is not a quality restaurant,0
after one bite i was hooked,1
go to place for gyros,1
i loved the bacon wrapped dates,1
they never brought a salad we asked for,0
the fries were not hot and neither was my burger,0
i like steiners because it s dark and it feels like a bar,1
the tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu,0
server did a great job handling our large rowdy table,1
this is the place where i first had pho and it was amazing,1
poor service the waiter made me feel like i was stupid every time he came to the table,0
it s not hard to make a decent hamburger,0
and the beans and rice were mediocre at best,0
this was my first and only vegas buffet and it did not disappoint,1
hell no will i go back,0
the potatoes were great and so was the biscuit,1
the cashier was friendly and even brought the food out to me,1
the food came out at a good pace,1
i m not really sure how joey s was voted best hot dog in the valley by readers of phoenix magazine,0
the wife hated her meal coconut shrimp and our friends really did not enjoy their meals either,0
always a pleasure dealing with him,1
the ambiance was incredible,1
i don t know what the big deal is about this place but i won t be back ya all,0
do yourself a favor and stay away from this dish,0
as for the service i m a fan because it s quick and you re being served by some nice folks,1
we ve have gotten a much better service from the pizza place next door than the services we received from this restaurant,0
their menu is diverse and reasonably priced,1
we won t be returning,0
we waited for forty five minutes in vain,0
and service was super friendly,1
the presentation of the food was awful,0
when i m on this side of town this will definitely be a spot i ll hit up again,1
at least min passed in between us ordering and the food arriving and it wasn t that busy,0
this is an unbelievable bargain,1
the steak was amazing rge fillet relleno was the best seafood plate i have ever had,1
i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious,1
on the ground right next to our table was a large smeared been stepped in and tracked everywhere pile of green bird poop,0
our server was very nice and even though he looked a little overwhelmed with all of our needs he stayed professional and friendly until the end,1
i got to enjoy the seafood salad with a fabulous vinegrette,1
all in all i can assure you i ll be back,1
i had a pretty satifying experience,1
as a sushi lover avoid this place by all means,0
although i very much liked the look and sound of this place the actual experience was a bit disappointing,0
they have horrible attitudes towards customers and talk down to each one when customers don t enjoy their food,0
this is a great restaurant at the mandalay bay,1
great place to eat reminds me of the little mom and pop shops in the san francisco bay area,1
the chipolte ranch dipping sause was tasteless seemed thin and watered down with no heat,0
the worst experience ever,0
it was just not a fun experience,1
i won t be back,0
the chicken dishes are ok the beef is like shoe leather,0
the fries were great too,1
not a single employee came out to see if we were ok or even needed a water refill once they finally served us our food,0
ample portions and good prices,1
i am far from a sushi connoisseur but i can definitely tell the difference between good food and bad food and this was certainly bad food,0
great place to relax and have an awesome burger and beer,1
overall i don t think that i would take my parents to this place again because they made most of the similar complaints that i silently felt too,0
food was really boring,0
an extensive menu provides lots of options for breakfast,1
we recently witnessed her poor quality of management towards other guests as well,0
a drive thru means you do not want to wait around for half an hour for your food but somehow when we end up going here they make us wait and wait,0
nicest chinese restaurant i ve been in a while,1
their rotating beers on tap is also a highlight of this place,1
the restaurant atmosphere was exquisite,1
the owners really really need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one,0
i love the fact that everything on their menu is worth it,1
i can take a little bad service but the food sucks,0
my fianc and i came in the middle of the day and we were greeted and seated right away,1
the staff is super nice and very quick even with the crazy crowds of the downtown juries lawyers and court staff,1
the macarons here are insanely good,1
no allergy warnings on the menu and the waitress had absolutely no clue as to which meals did or did not contain peanuts,0
i really do recommend this place you can go wrong with this donut place,1
the service was extremely slow,0
it was attached to a gas station and that is rarely a good sign,0
the service was a little slow considering that were served by people servers so the food was coming in a slow pace,0
the menu is always changing food quality is going down service is extremely slow,0
cute quaint simple honest,1
if you want to wait for mediocre food and downright terrible service then this is the place for you,0
never had anything to complain about here,1
the atmosphere was great with a lovely duo of violinists playing songs we requested,1
stars for the brick oven bread app,1
the manager was the worst,0
the black eyed peas and sweet potatoes unreal,1
the food sucked which we expected but it sucked more than we could have imagined,0
the guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak he s ever eaten,1
the price is reasonable and the service is great,1
we made the drive all the way from north scottsdale and i was not one bit disappointed,1
and the red curry had so much bamboo shoots and wasn t very tasty to me,0
my husband said she was very rude did not even apologize for the bad food or anything,0
i ve never been more insulted or felt disrespected,0
i will not be eating there again,0
i had the mac salad and it was pretty bland so i will not be getting that again,0
i live in the neighborhood so i am disappointed i won t be back here because it is a convenient location,0
this one is simply a disappointment,0
service was fine and the waitress was friendly,1
it was probably dirt,0
the warm beer didn t help,0
wow very spicy but delicious,1
seriously flavorful delights folks,1
gave up trying to eat any of the crust teeth still sore,0
waaaaaayyyyyyyyyy over rated is all i am saying,0
tasted like dirt,0
after the disappointing dinner we went elsewhere for dessert,0
i paid the bill but did not tip because i felt the server did a terrible job,0
after minutes wait i got a table,0
definitely worth venturing off the strip for the pork belly will return next time i m in vegas,1
i was proven dead wrong by this sushi bar not only because the quality is great but the service is fast and the food impeccable,1
i don t have to be an accountant to know i m getting screwed,0
the chains which i m no fan of beat this place easily,0
my sashimi was poor quality being soggy and tasteless,0
probably never coming back and wouldn t recommend it,0
how can you call yourself a steakhouse if you can t properly cook a steak i don t understand,0
the food is rich so order accordingly,1
i m not eating here,0
the only thing i wasn t too crazy about was their guacamole as i don t like it pur ed,0
level spicy was perfect where spice didn t over whelm the soup,1
i could eat their bruschetta all day it is devine,1
what should have been a hilarious yummy christmas eve dinner to remember was the biggest fail of the entire trip for us,0
pretty awesome place,1
weird vibe from owners,0
food was good service was good prices were good,1
i will come back here every time i m in vegas,1
unfortunately it only set us up for disapppointment with our entrees,0
thoroughly disappointed,0
thus far have only visited twice and the food was absolutely delicious each time,1
this place should honestly be blown up,0
i d love to go back,1
the pancake was also really good and pretty large at that,1
this is a really fantastic thai restaurant which is definitely worth a visit,1
i probably won t be back to be honest,0
very very fun chef,1
the feel of the dining room was more college cooking course than high class dining and the service was slow at best,0
i just wanted to leave,0
i promise they won t disappoint,1
they will customize your order any way you d like my usual is eggplant with green bean stir fry love it,1
we started with the tuna sashimi which was brownish in color and obviously wasn t fresh,0
i ate there twice on my last visit and especially enjoyed the salmon salad,1
ordered a double cheeseburger got a single patty that was falling apart picture uploaded yeah still sucks,0
the nachos are a must have,1
i can t wait to go back,1
back to good bbq lighter fare reasonable pricing and tell the public they are back to the old ways,1
great food,1
i don t know what kind it is but they have the best iced tea,1
highly unprofessional and rude to a loyal patron,0
i mean really how do you get so famous for your fish and chips when it s so terrible,0
best fish i ve ever had in my life,1
they know how to make them here,1
will not be back,0
any grandmother can make a roasted chicken better than this one,0
same evening him and i are both drastically sick,0
i waited and waited,0
i took back my money and got outta there,0
will never ever go back and have told many people what had happened,0
it was either too cold not enough flavor or just bad,0
con spotty service,0
i love this place,1
great pork sandwich,1
classy warm atmosphere fun and fresh appetizers succulent steaks baseball steak,1
i would not recommend this place,0
this is a good joint,1
it lacked flavor seemed undercooked and dry,0
we aren t ones to make a scene at restaurants but i just don t get it definitely lost the love after this one,0
also i feel like the chips are bought not made in house,0
i will not return,0
my fella got the huevos rancheros and they didn t look too appealing,0
this place was such a nice surprise,1
very bad experience,0
i would not recommend this place,0
avoid this establishment,0
the real disappointment was our waiter,0
service was good and the company was better,1
so good i am going to have to review this place twice once hereas a tribute to the place and once as a tribute to an event held here last night,1
i love the pho and the spring rolls oh so yummy you have to try,1
by this time our side of the restaurant was almost empty so there was no excuse,0
needless to say we will never be back here again,0
unfortunately we must have hit the bakery on leftover day because everything we ordered was stale,0
those burgers were amazing,1
the only redeeming quality of the restaurant was that it was very inexpensive,1
i had the opportunity today to sample your amazing pizzas,1
we also ordered the spinach and avocado salad the ingredients were sad and the dressing literally had zero taste,0
the patio seating was very comfortable,1
my boyfriend tried the mediterranean chicken salad and fell in love,1
some may say this buffet is pricey but i think you get what you pay for and this place you are getting quite a lot,1
in fact i m going to round up to stars just because she was so awesome,1
the cashew cream sauce was bland and the vegetables were undercooked,0
overall i like there food and the service,1
we ll never go again,0
i believe that this place is a great stop for those with a huge belly and hankering for sushi,1
horrible don t waste your time and money,0
i m not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place,0
our server was super nice and checked on us many times,1
it was absolutely amazing,1
definitely not worth the i paid,0
i guess maybe we went on an off night but it was disgraceful,0
seriously killer hot chai latte,1
i ve lived here since and this was the first and last time i ve stepped foot into this place,0
i have been here several times in the past and the experience has always been great,1
my brother in law who works at the mall ate here same day and guess what he was sick all night too,0
kids pizza is always a hit too with lots of great side dish options for the kiddos,1
one of the few places in phoenix that i would definately go back to again,1
to my disbelief each dish qualified as the worst version of these foods i have ever tasted,0
the jamaican mojitos are delicious,1
the selection on the menu was great and so were the prices,1
it s close to my house it s low key non fancy affordable prices good food,1
our waiter was very attentive friendly and informative,1
disappointing experience,0
the chicken i got was definitely reheated and was only ok the wedges were cold and soggy,0
i love the decor with the chinese calligraphy wall paper,1
last night was my second time dining here and i was so happy i decided to go back,1
great food and awesome service,1
very good food great atmosphere,1
it was not good,0
they were golden crispy and delicious,1
a fly was in my apple juice a fly,0
he also came back to check on us regularly excellent service,1
i ll definitely be in soon again,1
cant say enough good things about this place,1
the burger is good beef cooked just right,1
i found this place by accident and i could not be happier,1
unfortunately it was not good,0
i recently tried caballero s and i have been back every week since,1
i had heard good things about this place but it exceeding every hope i could have dreamed of,1
delicious nyc bagels good selections of cream cheese real lox with capers even,1
this hole in the wall has great mexican street tacos and friendly staff,1
i found a six inch long piece of wire in my salsa,0
this wonderful experience made this place a must stop whenever we are in town again,1
how awesome is that,1
the food is not tasty at all not to say its real traditional hunan style,0
rude inconsiderate management,0
this place is amazing,1
first time going but i think i will quickly become a regular,1
awesome service and food,1
i will continue to come here on ladies night andddd date night highly recommend this place to anyone who is in the area,1
omg i felt like i had never eaten thai food until this dish,1
their monster chicken fried steak and eggs is my all time favorite,1
he was extremely rude and really there are so many other restaurants i would love to dine at during a weekend in vegas,0
the cocktails are all handmade and delicious,1
the one down note is the ventilation could use some upgrading,0
food was average at best,0
i wouldn t return,0
too bad cause i know it s family owned i really wanted to like this place,0
oh this is such a thing of beauty this restaurant,1
food is way overpriced and portions are fucking small,0
she was quite disappointed although some blame needs to be placed at her door,0
we are so glad we found this place,1
this place is overpriced not consistent with their boba and it really is overpriced,0
i was disgusted because i was pretty sure that was human hair,0
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored,1
the shrimp tender and moist,1
worse of all he humiliated his worker right in front of me bunch of horrible name callings,0
the staff are now not as friendly the wait times for being served are horrible no one even says hi for the first minutes,0
interesting decor,1
but the service was beyond bad,0
soggy and not good,0
once your food arrives it s meh,0
their chow mein is so good,1
i love the owner chef his one authentic japanese cool dude,1
the burger i got the gold standard a burger and was kind of disappointed,0
i have watched their prices inflate portions get smaller and management attitudes grow rapidly,0
we ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything,0
awesome selection of beer,1
you get incredibly fresh fish prepared with care,1
i wasn t really impressed with strip steak,0
there is nothing privileged about working eating there,0
one nice thing was that they added gratuity on the bill since our party was larger than or and they didn t expect more tip than that,1
the vanilla ice cream was creamy and smooth while the profiterole choux pastry was fresh enough,1
the chicken wings contained the driest chicken meat i have ever eaten,0
appetite instantly gone,0
i can say that the desserts were yummy,1
hot dishes are not hot cold dishes are close to room temp i watched staff prepare food with bare hands no gloves everything is deep fried in oil,0
for a self proclaimed coffee cafe i was wildly disappointed,0
food was great and so was the serivce,1
i was seated immediately,1
i know this is not like the other restaurants at all something is very off here,0
as for the service i thought it was good,1
overall i was very disappointed with the quality of food at bouchon,0
have been going since and every meal has been awesome,1
we enjoy their pizza and brunch,1
do not waste your money here,0
great time family dinner on a sunday night,1
so we went to tigerlilly and had a fantastic afternoon,1
i will never go back to this place and will never ever recommended this place to anyone,0
def coming back to bowl next time,1
crust is not good,0
don t bother coming here,0
food was below average,0
after two i felt disgusting,0
coming here is like experiencing an underwhelming relationship where both parties can t wait for the other person to ask to break up,0
very good lunch spot,1
overall i like this place a lot,1
their frozen margaritas are way too sugary for my taste,0
terrible service,0
waiter was a jerk,0
the last times i had lunch here has been bad,0
my wife had the lobster bisque soup which was lukewarm,0
it s like a really sexy party in your mouth where you re outrageously flirting with the hottest person at the party,1
there is nothing authentic about this place,0
i had strawberry tea which was good,1
generous portions and great taste,1
pretty good beer selection too,1
these were so good we ordered them twice,1
now this dish was quite flavourful,1
i tried the cape cod ravoli chicken with cranberry mmmm,1
the bus boy on the other hand was so rude,0
i miss it and wish they had one in philadelphia,1
this place deserves one star and has to do with the food,0
stopped by this place while in madison for the ironman very friendly kind staff,1
this place is hands down one of the best places to eat in the phoenix metro area,1
for bucks a head i really expect better food,0
a lady at the table next to us found a live green caterpillar in her salad,0
what a mistake,0
it kept getting worse and worse so now i m officially done,0
delicious and i will absolutely be back,1
i have been to very few places to eat that under no circumstances would i ever return to and this tops the list,0
the waitress and manager are so friendly,1
very poor service,0
it wasn t busy either also the building was freezing cold,0
the servers went back and forth several times not even so much as an are you being helped,0
there was hardly any meat,0
a good time,1
prices are very reasonable flavors are spot on the sauce is home made and the slaw is not drenched in mayo,1
also were served hot bread and butter and home made potato chips with bacon bits on top very original and very good,1
perfect for someone me who only likes beer ice cold or in this case even colder,1
anyways the food was definitely not filling at all and for the price you pay you should expect more,0
third the cheese on my friend s burger was cold,0
your staff spends more time talking to themselves than me,0
i don t each much pasta but i love the homemade hand made pastas and thin pizzas here,1
the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked,1
total letdown i would much rather just go to the camelback flower shop and cartel coffee,0
my salad had a bland vinegrette on the baby greens and hearts of palm,0
went in for happy hour great list of wines,1
i always order from the vegetarian menu during dinner which has a wide array of options to choose from,1
the greek dressing was very creamy and flavorful,1
the food amazing,1
never going back,0
we loved the place,1
i came back today since they relocated and still not impressed,0
i liked the patio and the service was outstanding,1
but then they came back cold,0
both of the egg rolls were fantastic,1
i don t recommend unless your car breaks down in front of it and you are starving,0
i had high hopes for this place since the burgers are cooked over a charcoal grill but unfortunately the taste fell flat way flat,0
i can assure you that you won t be disappointed,1
the menu had so much good stuff on it i could not decide,1
it s worth driving up from tucson,1
both the hot sour the egg flower soups were absolutely stars,1
in the summer you can dine in a charming outdoor patio so very delightful,1
very convenient since we were staying at the mgm,1
this place is way too overpriced for mediocre food,0
both great,1
this is the worst sushi i have ever eat besides costco s,0
on the up side their cafe serves really good food,1
the dining space is tiny but elegantly decorated and comfortable,1
all i have to say is the food was amazing,1
best tater tots in the southwest,1
